"team","season","rel_perf"
"ARI",2008,0.2325
"ARI",2009,0.1443
"ARI",2010,-1.9479
"ARI",2011,-0.5157
"ARI",2012,-1.8758
"ARI",2013,0.3554
"ARI",2014,0.1427
"ARI",2015,2.1788
"ARI",2016,0.8932
"ARI",2017,-0.7106
"ARI",2018,-2.5204
"ARI",2019,-0.5696
"ARI",2020,0.0654
"ARI",2021,1.0336
"ATL",2008,0.6134
"ATL",2009,0.2743
"ATL",2010,0.9985
"ATL",2011,0.6168
"ATL",2012,1.1071
"ATL",2013,-0.5687
"ATL",2014,-0.3725
"ATL",2015,-0.0942
"ATL",2016,1.892
"ATL",2017,0.7501
"ATL",2018,0.2687
"ATL",2019,-0.0653
"ATL",2020,-0.1623
"ATL",2021,-1.2851
"BAL",2008,1.1729
"BAL",2009,0.9595
"BAL",2010,0.5661
"BAL",2011,1.1589
"BAL",2012,0.2674
"BAL",2013,-0.7814
"BAL",2014,0.9044
"BAL",2015,-1.0402
"BAL",2016,-0.4433
"BAL",2017,0.3534
"BAL",2018,0.5675
"BAL",2019,2.2785
"BAL",2020,1.1335
"BAL",2021,-0.317
"BUF",2008,-0.4388
"BUF",2009,-0.7836
"BUF",2010,-1.2465
"BUF",2011,-0.3137
"BUF",2012,-0.595
"BUF",2013,-0.2291
"BUF",2014,-0.0203
"BUF",2015,0.204
"BUF",2016,0.5558
"BUF",2017,-0.7881
"BUF",2018,-0.9434
"BUF",2019,0.2947
"BUF",2020,1.1679
"BUF",2021,1.5476
"CAR",2008,0.685
"CAR",2009,0.0513
"CAR",2010,-2.2653
"CAR",2011,0.2908
"CAR",2012,0.5709
"CAR",2013,1.2031
"CAR",2014,-0.0171
"CAR",2015,1.7951
"CAR",2016,-0.4439
"CAR",2017,0.3201
"CAR",2018,0.2532
"CAR",2019,-1.1556
"CAR",2020,-0.4842
"CAR",2021,-0.9946
"CHI",2008,-0.4686
"CHI",2009,-0.6445
"CHI",2010,-0.2091
"CHI",2011,-0.5737
"CHI",2012,0.3522
"CHI",2013,0.1938
"CHI",2014,-0.9744
"CHI",2015,-0.424
