"season","team_abbr","exp_sos","act_sos","wins"
2008,"ARI",0.49,0.486,9
2008,"ATL",0.484,0.459,11
2008,"BAL",0.512,0.521,11
2008,"BUF",0.492,0.453,7
2008,"CAR",0.465,0.488,12
2008,"CHI",0.496,0.475,9
2008,"CIN",0.51,0.553,4.5
2008,"CLE",0.51,0.572,4
2008,"DAL",0.484,0.498,9
2008,"DEN",0.48,0.457,8
2008,"DET",0.502,0.559,0
2008,"GB",0.508,0.504,6
2008,"HOU",0.512,0.518,8
2008,"IND",0.527,0.498,12
2008,"JAX",0.506,0.537,5
2008,"KC",0.484,0.537,2
2008,"LA",0.484,0.533,2
2008,"LAC",0.465,0.516,8
2008,"LV",0.475,0.52,5
2008,"MIA",0.49,0.461,11
2008,"MIN",0.496,0.504,10
2008,"NE",0.465,0.48,11
2008,"NO",0.447,0.496,8
2008,"NYG",0.498,0.502,12
2008,"NYJ",0.48,0.471,9
2008,"PHI",0.484,0.514,9.5
2008,"PIT",0.531,0.525,12
2008,"SEA",0.484,0.498,4
2008,"SF",0.498,0.447,7
2008,"TB",0.473,0.48,9
2008,"TEN",0.514,0.459,13
2008,"WAS",0.502,0.479,8
2009,"ARI",0.49,0.445,10
2009,"ATL",0.521,0.504,9
2009,"BAL",0.51,0.523,9
2009,"BUF",0.516,0.516,6
2009,"CAR",0.531,0.539,8
2009,"CHI",0.49,0.496,7
2009,"CIN",0.498,0.492,10
2009,"CLE",0.498,0.512,5
2009,"DAL",0.521,0.488,11
2009,"DEN",0.529,0.527,8
2009,"DET",0.52,0.523,2
2009,"GB",0.477,0.441,11
2009,"HOU",0.502,0.504,9
2009,"IND",0.498,0.473,14
2009,"JAX",0.506,0.496,7
2009,"KC",0.51,0.516,4
2009,"LA",0.51,0.52,1
2009,"LAC",0.48,0.453,13
2009,"LV",0.51,0.527,5
2009,"MIA",0.549,0.559,7
2009,"MIN",0.484,0.441,12
2009,"NE",0.492,0.516,10
2009,"NO",0.496,0.426,13
2009,"NYG",0.52,0.535,8
2009,"NYJ",0.52,0.516,9
2009,"PHI",0.514,0.484,11
2009,"PIT",0.473,0.488,9
2009,"SEA",0.486,0.477,5
2009,"SF",0.5,0.477,8
2009,"TB",0.541,0.555,3
2009,"TEN",0.527,0.539,8
2009,"WAS",0.5,0.492,4
2010,"ARI",0.482,0.465,5
2010,"ATL",0.488,0.484,13
2010,"BAL",0.488,0.484,12
2010,"BUF",0.518,0.578,4
2010,"CAR",0.504,0.574,2
2010,"CHI",0.506,0.473,11
2010,"CIN",0.525,0.582,4
2010,"CLE",0.516,0.57,5
2010,"DAL",0.523,0.512,6
2010,"DEN",0.498,0.516,4
2010,"DET",0.516,0.543,6
2010,"GB",0.512,0.52,10
2010,"HOU",0.529,0.523,6
2010,"IND",0.506,0.473,10
2010,"JAX",0.506,0.453,8
2010,"KC",0.467,0.414,10
2010,"LA",0.479,0.449,7
2010,"LAC",0.463,0.457,9
2010,"LV",0.496,0.469,8
2010,"MIA",0.492,0.539,7
2010,"MIN",0.51,0.539,6
2010,"NE",0.512,0.504,14
2010,"NO",0.486,0.469,11
2010,"NYG",0.516,0.453,10
2010,"NYJ",0.49,0.492,11
2010,"PHI",0.537,0.492,10
