"season","team","wp","wins","losses"
2008,"ARI",0.562,9,7
2008,"ATL",0.688,11,5
2008,"BAL",0.688,11,5
2008,"BUF",0.438,7,9
2008,"CAR",0.75,12,4
2008,"CHI",0.562,9,7
2008,"CIN",0.281,4.5,11.5
2008,"CLE",0.25,4,12
2008,"DAL",0.562,9,7
2008,"DEN",0.5,8,8
2008,"DET",0,0,16
2008,"GB",0.375,6,10
2008,"HOU",0.5,8,8
2008,"IND",0.75,12,4
2008,"JAX",0.312,5,11
2008,"KC",0.125,2,14
2008,"MIA",0.688,11,5
2008,"MIN",0.625,10,6
2008,"NE",0.688,11,5
2008,"NO",0.5,8,8
2008,"NYG",0.75,12,4
2008,"NYJ",0.562,9,7
2008,"LV",0.312,5,11
2008,"PHI",0.594,9.5,6.5
2008,"PIT",0.75,12,4
2008,"LAC",0.5,8,8
2008,"SEA",0.25,4,12
2008,"SF",0.438,7,9
2008,"LA",0.125,2,14
2008,"TB",0.562,9,7
2008,"TEN",0.812,13,3
2008,"WAS",0.5,8,8
2009,"ARI",0.625,10,6
2009,"ATL",0.562,9,7
2009,"BAL",0.562,9,7
2009,"BUF",0.375,6,10
2009,"CAR",0.5,8,8
2009,"CHI",0.438,7,9
2009,"CIN",0.625,10,6
2009,"CLE",0.312,5,11
2009,"DAL",0.688,11,5
2009,"DEN",0.5,8,8
2009,"DET",0.125,2,14
2009,"GB",0.688,11,5
2009,"HOU",0.562,9,7
2009,"IND",0.875,14,2
2009,"JAX",0.438,7,9
2009,"KC",0.25,4,12
2009,"MIA",0.438,7,9
2009,"MIN",0.75,12,4
2009,"NE",0.625,10,6
2009,"NO",0.812,13,3
2009,"NYG",0.5,8,8
2009,"NYJ",0.562,9,7
2009,"LV",0.312,5,11
2009,"PHI",0.688,11,5
2009,"PIT",0.562,9,7
2009,"LAC",0.812,13,3
2009,"SEA",0.312,5,11
2009,"SF",0.5,8,8
2009,"LA",0.062,1,15
2009,"TB",0.188,3,13
2009,"TEN",0.5,8,8
2009,"WAS",0.25,4,12
2010,"ARI",0.312,5,11
2010,"ATL",0.812,13,3
2010,"BAL",0.75,12,4
2010,"BUF",0.25,4,12
2010,"CAR",0.125,2,14
2010,"CHI",0.688,11,5
2010,"CIN",0.25,4,12
2010,"CLE",0.312,5,11
2010,"DAL",0.375,6,10
2010,"DEN",0.25,4,12
2010,"DET",0.375,6,10
2010,"GB",0.625,10,6
2010,"HOU",0.375,6,10
2010,"IND",0.625,10,6
2010,"JAX",0.5,8,8
2010,"KC",0.625,10,6
2010,"MIA",0.438,7,9
2010,"MIN",0.375,6,10
2010,"NE",0.875,14,2
2010,"NO",0.688,11,5
2010,"NYG",0.625,10,6
2010,"NYJ",0.688,11,5
2010,"LV",0.5,8,8
2010,"PHI",0.625,10,6
2010,"PIT",0.75,12,4
2010,"LAC",0.562,9,7
2010,"SEA",0.438,7,9
2010,"SF",0.375,6,10
2010,"LA",0.438,7,9
2010,"TB",0.625,10,6
2010,"TEN",0.375,6,10
2010,"WAS",0.375,6,10
2011,"ARI",0.5,8,8
2011,"ATL",0.625,10,6
2011,"BAL",0.75,12,4
2011,"BUF",0.375,6,10
